violations,n_violations,causal_score,changed_features,n_changed,cf_index,predicted_rt,l1_proximity
"[('molecular_weight', 'labuteasa', ""'labuteasa' changed but its causal parent 'molecular_weight' did not""), ('molecular_weight', 'labuteasa', ""'labuteasa' changed but its causal parent 'molecular_weight' did not""), ('tpsa', 'num_h_donors', ""'num_h_donors' changed but its causal parent 'tpsa' did not""), ('num_heteroatoms', 'num_h_donors', ""'num_h_donors' changed but its causal parent 'num_heteroatoms' did not""), ('molecular_weight', 'logp', ""'logp' changed but its causal parent 'molecular_weight' did not"")]",5,0.8148,"['labuteasa', 'num_h_donors', 'logp']",3,1,10.0,12.96999311949697
"[('num_aromatic_rings', 'chi0v', ""'chi0v' changed but its causal parent 'num_aromatic_rings' did not""), ('molecular_weight', 'labuteasa', ""'labuteasa' changed but its causal parent 'molecular_weight' did not""), ('molecular_weight', 'labuteasa', ""'labuteasa' changed but its causal parent 'molecular_weight' did not""), ('molecular_weight', 'logp', ""'logp' changed but its causal parent 'molecular_weight' did not"")]",4,0.8519,"['chi0v', 'labuteasa', 'logp']",3,2,10.0,19.844135504359215
"[('num_aromatic_rings', 'kappa2', ""'kappa2' changed but its causal parent 'num_aromatic_rings' did not""), ('fraction_csp3', 'kappa2', ""'kappa2' changed but its causal parent 'fraction_csp3' did not"")]",2,0.9259,"['molecular_weight', 'kappa2', 'molmr']",3,3,10.0,48.84359905232646
"[('molecular_weight', 'smr_vsa2', ""'smr_vsa2' changed but its causal parent 'molecular_weight' did not""), ('logp', 'slogp_vsa2', ""'slogp_vsa2' moved + but 'logp' moved - (expected same direction)""), ('molecular_weight', 'labuteasa', ""'labuteasa' changed but its causal parent 'molecular_weight' did not""), ('molecular_weight', 'labuteasa', ""'labuteasa' changed but its causal parent 'molecular_weight' did not""), ('molecular_weight', 'logp', ""'logp' changed but its causal parent 'molecular_weight' did not"")]",5,0.8148,"['smr_vsa2', 'slogp_vsa2', 'labuteasa', 'logp']",4,4,10.0,24.509513119496972
"[('molecular_weight', 'smr_vsa2', ""'smr_vsa2' changed but its causal parent 'molecular_weight' did not""), ('molecular_weight', 'labuteasa', ""'labuteasa' changed but its causal parent 'molecular_weight' did not""), ('molecular_weight', 'labuteasa', ""'labuteasa' changed but its causal parent 'molecular_weight' did not""), ('molecular_weight', 'logp', ""'logp' changed but its causal parent 'molecular_weight' did not"")]",4,0.8519,"['smr_vsa2', 'labuteasa', 'logp']",3,5,10.0,20.20951311949697
